"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","SubGroup","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP_rating","DSSAT_rating","APSIM_rating","CYCLES","","","","","","","","","",""
"fertilizer_applic_day","21","FEDAY","5","FEDAY","3","1","Fertilizer application day","doy","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","0","",".",".","1","366","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_material","19","FECD","4","FECD","4","","Fertilizer material","code","text","5","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".","FMCD","","","","1","","2","2","","","","","","","","","","","",""
"fertiliz_app_name","17","FECD_NAME","9","FECD_NAME","15","","Name or notes for this fertilizer application","text","text","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"fertilizer_applic_method","24","FEACD","5","FEACD","5","","Fertilizer application method","code","text","5","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".","FACD","","","","1","","2","2","","","","","","","","","","","",""
"application_depth_fert","22","FEDEP","5","FEDEP","6","","Fertilizer application depth","cm","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".","FDEP","0","","","1","","2","2","","","","","","","","","","","",""
"fertilizer_total_amount","23","FEAM","4","FEAM","6","","Total amount of fertilizer applied","kg[fertilizer]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2020-04-22, CHP",".","","0","","","1","","2","2","","","","","","","","","","","",""
"N_in_applied_fertilizer","23","FEAMN","5","FEAMN","7","","Nitrogen (elemental) in applied fertilizer","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"NO3_applied_fertilizer","22","FENO3","5","FENO3","8","","Nitrate in applied fertilizer, as elemental N","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2013-02-04, JWW",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"NH4_applied_fertilizer","22","FENH4","5","FENH4","9","","Ammonium in applied fertilizer, as elemental N","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2013-02-04, JWW",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"Urea_applied_fertilizer","23","FEUREA","6","FEUREA","9","","Urea in applied fertilizer, as elemental N
","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-11-26, CHP",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"phosphorus_applied_fert","23","FEAMP","5","FEAMP","10","","Phosphorus (elemental) in applied fertilizer","kg[P]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"fertilizer_K_applied","20","FEAMK","5","FEAMK","11","","Potassium (elemental) in applied fertilizer","kg[K]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"S_in_applied_fertilizer","23","FEAMS","5","FEAMS","12","","Sulfur (elemental) in applied fertilizer","kg[S]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-06-17, CHP",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"Ca_in_applied_fertilizer","24","FEAMC","5","FEAMC","12","","Calcium (elemental) in applied fertilizer","kg[Ca]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"Mg_in_applied_fertilizer","24","FEAMM","5","FEAMM","12","","Magnesium (elemental) in applied fertilizer","kg[Mg]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-06-17, CHP",".","FEAMMG","0","","","1","-1","0","","","","","","","","","","","","",""
"B_in_applied_fertilizer","23","FEAMB","5","FEAMB","12","","Boron (elemental) in applied fertilizer","kg[B]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-06-17, CHP",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"Zn_in_applied_fertilizer","24","FEAMZ","5","FEAMZ","12","","Zinc (elemental) in applied fertilizer","kg[Zn]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-06-17, CHP",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"Mn_in_applied_fertilizer","24","FEAMMN","6","FEAMMN","12","","Manganese (elemental) in applied fertilizer","kg[Mn]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-06-17, CHP",".","FEAMMG","0","","","1","-1","0","","","","","","","","","","","","",""
"Fe_in_applied_fertilizer","24","FEAMFE","5","FEAMFE","12","","Iron (elemental) in applied fertilizer","kg[Fe]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","2019-06-17, CHP",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"other_elements_appl_fert","24","FEAMO","5","FEAMO","13","","Other elements in applied fertilizer","kg[Element]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"fertiliz_code_other_elem","24","FEOCD","5","FEOCD","14","","Fertilizer code for other elements","code","text","5","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","","2091","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"org_materials_applic_lev","24","OM","2","OM","1","","Organic materials application level","number","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","","2091","0","",".","MR","","","","1","-2","0","","","","","","","","","","","","",""
"org_material_applic_name","24","OM_NAME","7","OM_NAME","2","","Organic materials application name","text","text","31","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","","2091","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"org_material_notes","18","OM_NOTES","8","OM_NOTES","3","","Organic materials, extended comments on treatment(s)","text","memo","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","","2091","0","","","","","","","1","","0","","","","","","","","","","","","",""
"org_material_applic_tot","23","OM_TOT","6","OM_TOT","8","","Total seasonal organic materials application amount, dry weight basis","kg/ha","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","","2091","1","2013-3-1, chp",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"org_material_applic_date","24","OMDAT","5","OMDAT","1","","Organic materials application date","date","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","","RDATE",".","0","366","","1","","2","2","","","","","","","","","","","",""
"org_materials_applic_lev","24","OM","2","OM","1","","Organic materials application level, links to OM table","number","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","0","",".","MR","","","","1","-2","0","","","","","","","","","","","","",""
"org_materials_applic_yr","23","OMYR","4","OMYR","2","1","Organic materials application year","year","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"org_material_applic_day","23","OMDAY","5","OMDAY","3","1","Organic materials application day","doy","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","0","","RDATE",".","0","366","","1","-2","0","","","","","","","","","","","","",""
"organic_material","16","OMCD","4","OMCD","4","","Organic material, identifying code","code","text","5","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","","RCOD",".","","","","1","","2","2","","","","","","","","","","","",""
"org_material_applic_meth","24","OMACD","5","OMACD","5","","Organic materials application method","code","text","5","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".","RACD","","","","1","-1","0","","","","","","","","","","","","",""
"org_material_appl_depth","23","OMDEP","5","OMDEP","6","","Organic materials application depth","cm","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"org_material_incorp_perc","24","OMINP","5","OMINP","7","","Organic materials application, fraction incorporporated as %","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","100","","1","","0","","","","","","","","","","","","",""
"org_material_applic_amnt","24","OMAMT","5","OMAMT","8","","Organic materials application amount, dry weight basis","kg/ha","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"org_material_cover","18","OMCOV","5","OMCOV","8","","Organic materials, percent ground covered by organic matter","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","2015-10-12, chp",".",".","0","100","","1","","0","0","","","","","","","","","","","",""
"org_matter_moisture_conc","24","OMH2O","5","OMH2O","9","","Organic matter or residue added, moisture concentration","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","","","","0","","","1","-1","0","","","","","","","","","","","","",""
"org_matter_carbon_conc","22","OMC%","4","OMCPC","10","","Organic matter or residue added, carbon concentration","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","","","","0","","","1","-1","0","","","","","","","","","","","","",""
"organic_material_N_conc","23","OMN%","4","OMNPC","11","","Organic materials nitrogen concentration","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","","1","1","","","","","","","","","","","",""
"organic_material_P_conc","23","OMP%","4","OMPPC","12","","Organic materials phosphorus concentration","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"organic_material_K_conc","23","OMK%","4","OMKPC","13","","Organic materials potasium concentration","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"org_material_lignin_conc","24","OMLI%","5","OMLPC","14","","Organic materials lignin concentration","%","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"org_material_c_to_n","19","OMC2N","5","OMC2N","15","","Organic materials C:N ratio","number","single","","EXPERIMENT","MANAGEMENT","ORGANIC_MATERIALS","ORGANIC_MATERIAL_APPLICS","2092","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","MULCHES","","2101","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_level","11","ML","2","ML","1","","Mulch treatment level","number","single","","EXPERIMENT","MANAGEMENT","MULCHES","","2101","0","Vers 1.1","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_level_name","16","ML_NAME","7","ML_NAME","2","","Mulch level, name of treatment","text","text","31","EXPERIMENT","MANAGEMENT","MULCHES","","2101","0","Vers 1.1","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_level_notes","17","ML_NOTES","8","ML_NOTES","10","","Mulch description, detailed comments","text","memo","","EXPERIMENT","MANAGEMENT","MULCHES","","2101","0","","","","","","","1","-1","0","","","","","","","","","","","","",""
"mulch_applic_date","17","MLADAT","6","MLADAT","-99","1","Mulch application date","date","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","1","Vers 1.1","","","1","366","","1","-1","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_level","11","ML","2","ML","1","","Mulch treatment level","number","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","0","Vers 1.1","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_applic_year","17","MLAYR","5","MLAYR","3","1","Mulch application year","year","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","0","Vers 1.1","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_applic_day","16","MLADY","5","MLADY","4","1","Mulch application date as day of year","doy","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","0","Vers 1.1","","","1","366","","1","-2","0","","","","","","","","","","","","",""
"mulch_type","10","MLTP","4","MLTP","7","","Mulch type by codes for soild polythelene sheet, net, etc. ","code","text","6","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","1","Vers 1.1","","","","","","1","-1","0","","","","","","","","","","","","",""
"mulch_thickness","15","MLTHK","5","MLTHK","8","","Mulch thickness ","mm","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","1","Vers 1.1","","","0","","","1","-1","0","","","","","","","","","","","","",""
"mulch_cover_fraction","20","MLCOV","5","MLCOV","8","","Fraction of surface covered by mulch","fraction","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","1","2015-12-15, chp","","","0","","","1","-1","0","","","","","","","","","","","","",""
"mulch_color","11","MLCOL","5","MLCOL","9","","Mulch color ","code","text","6","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_ADD","2102","1","Vers 1.1","","","","","","1","-1","0","","","","","","","","","","","","",""
"mulch_removal_date","18","MLRDAT","6","MLRDAT","-98","","Mulch removal date","date","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_REMOVE","2103","1","Vers 1.2","","","1","366","","1","-1","0","","","","","","","","","","","","",""
"mulch_level","11","ML","2","ML","1","","Mulch treatment level","number","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_REMOVE","2103","0","Vers 1.2","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_removal_year","18","MLRYR","5","MLRYR","5","","Mulch removal year","year","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_REMOVE","2103","0","Vers 1.2","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_removal_day","17","MLRDAY","6","MLRDAY","6","","Mulch removal date as day of year","doy","single","","EXPERIMENT","MANAGEMENT","MULCHES","MULCH_REMOVE","2103","0","Vers 1.2","","","1","366","","1","-2","0","","","","","","","","","","","","",""
